Market,ST,MSA,CC Rate,SF/Cap,Med HHI,Sup Gr%,SF Dev,Tax,Crime,Ind Basis,Exit CO,Exit Stab,Yld/Basis,Sc:Rate,Sc:Sat,Sc:HHI,Sc:Grw,Sc:Tax,Sc:Crm,Sc:Bas,Sc:Exit,Score,Rank,Tier
"Norridge, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.32,5.9,100707,,,0.04,3100,105,167,239,0.15085714285714286,0.383,0.616,0.558,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Schiller Park, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.32,5.91,98163,,,0.04,3100,105,167,239,0.15085714285714286,0.383,0.614,0.523,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Winfield, IN",IN,"Chicago-Naperville-Elgin, IL-IN",1.32,15.45,106881,0.0357,28032,0.04,3100,105,167,239,0.15085714285714286,0.383,0.05900000000000005,0.627,0.808,0.06499999999999995,0.603,0.6799999999999999,0.612,0.42460000000000003,1786,D
"Robbins, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.31,5.26,78857,,,0.04,3100,105,167,239,0.14971428571428572,0.376,0.702,0.264,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Shorewood, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.31,7.71,110610,0.1923,201790,0.04,3100,105,167,239,0.14971428571428572,0.376,0.399,0.669,0.245,0.06499999999999995,0.603,0.6799999999999999,0.612,0.46514999999999995,1588,C
"Midlothian, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.31,6.38,76883,,,0.04,3100,105,167,239,0.14971428571428572,0.376,0.5489999999999999,0.235,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Campton Hills, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.31,10.33,148047,0.0201,14281,0.04,3100,105,167,239,0.14971428571428572,0.376,0.20299999999999996,0.912,0.908,0.06499999999999995,0.603,0.6799999999999999,0.612,0.47124999999999995,1552,C
"Franklin Park, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.3,5.89,96379,,,0.04,3100,105,167,239,0.14857142857142858,0.363,0.617,0.499,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Park Ridge, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.3,5.22,107405,,,0.04,3100,105,167,239,0.14857142857142858,0.363,0.708,0.631,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Elk Grove Village, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.3,9.04,100855,,,0.04,3100,105,167,239,0.14857142857142858,0.363,0.28500000000000003,0.56,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Posen, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.3,5.88,71862,,,0.04,3100,105,167,239,0.14857142857142858,0.363,0.619,0.171,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Oswego, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.29,4.53,106985,0.03,14791,0.04,3100,105,167,239,0.14742857142857144,0.355,0.793,0.628,0.842,0.06499999999999995,0.603,0.6799999999999999,0.612,0.56755,807,B
"Villa Park, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.28,5.66,105585,0.043,66400,0.04,3100,105,167,239,0.14628571428571427,0.342,0.648,0.612,0.765,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5313,1081,C
"Northlake, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.28,5.87,96737,0.033,66400,0.04,3100,105,167,239,0.14628571428571427,0.342,0.621,0.505,0.825,0.06499999999999995,0.603,0.6799999999999999,0.612,0.52355,1150,C
"Niles, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.27,5.66,114446,,,0.04,3100,105,167,239,0.14514285714285716,0.334,0.648,0.706,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Bloomingdale, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.27,6.11,105170,0.0671,113521,0.04,3100,105,167,239,0.14514285714285716,0.334,0.5900000000000001,0.608,0.637,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5115,1247,C
"Merrillville, IN",IN,"Chicago-Naperville-Elgin, IL-IN",1.27,13.71,76499,0.0193,28032,0.04,3100,105,167,239,0.14514285714285716,0.334,0.08399999999999996,0.229,0.914,0.06499999999999995,0.603,0.6799999999999999,0.612,0.40519999999999995,1862,D
"Harwood Heights, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.26,5.7,99086,,,0.04,3100,105,167,239,0.14400000000000002,0.323,0.644,0.537,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Roselle, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.25,4.73,103253,0.0868,113521,0.04,3100,105,167,239,0.14285714285714285,0.311,0.769,0.588,0.5469999999999999,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5372,1029,B
"Park City, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.23,4.92,92823,0.0171,14282,0.04,3100,105,167,239,0.14057142857142857,0.291,0.745,0.455,0.929,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5408499999999999,1003,B
"Crystal Lake, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.23,9.66,115947,0.1427,143000,0.04,3100,105,167,239,0.14057142857142857,0.291,0.24,0.72,0.34299999999999997,0.06499999999999995,0.603,0.6799999999999999,0.612,0.42379999999999995,1792,D
"Sauk Village, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.23,6.82,84616,0.0363,28041,0.04,3100,105,167,239,0.14057142857142857,0.291,0.494,0.343,0.804,0.06499999999999995,0.603,0.6799999999999999,0.612,0.47879999999999995,1506,C
"Des Plaines, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.23,6.41,112407,,,0.04,3100,105,167,239,0.14057142857142857,0.291,0.5449999999999999,0.687,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"West Chicago, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.23,5.91,120884,,,0.04,3100,105,167,239,0.14057142857142857,0.291,0.614,0.759,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Beverly Shores, IN",IN,"Chicago-Naperville-Elgin, IL-IN",1.23,13.21,60883,0.054,14234,0.04,3100,105,167,239,0.14057142857142857,0.291,0.09599999999999997,0.057,0.708,0.06499999999999995,0.603,0.6799999999999999,0.612,0.3800999999999999,1956,D
"Dolton, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.22,3.58,60520,0.0892,79881,0.04,3100,105,167,239,0.13942857142857143,0.284,0.884,0.054,0.536,0.06499999999999995,0.603,0.6799999999999999,0.612,0.52755,1114,C
"Harvey, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.22,5.81,69436,0.056,79881,0.04,3100,105,167,239,0.13942857142857143,0.284,0.631,0.144,0.6950000000000001,0.06499999999999995,0.603,0.6799999999999999,0.612,0.4894,1425,C
"Pingree Grove, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.22,3.78,129492,0.3755,75112,0.04,3100,105,167,239,0.13942857142857143,0.284,0.866,0.829,0.08799999999999997,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5402999999999999,1008,B
"Riverdale, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.22,4.28,62345,0.0726,79881,0.04,3100,105,167,239,0.13942857142857143,0.284,0.8220000000000001,0.069,0.61,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5196000000000001,1169,C
"Highland Park, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.21,5.59,186989,0.1846,102492,0.04,3100,105,167,239,0.1382857142857143,0.274,0.6579999999999999,0.987,0.266,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5135000000000001,1228,C
"Addison, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.21,6.53,106823,0.0505,80681,0.04,3100,105,167,239,0.1382857142857143,0.274,0.53,0.627,0.728,0.06499999999999995,0.603,0.6799999999999999,0.612,0.49300000000000005,1392,C
"Highwood, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.21,6.19,187394,0.1846,102492,0.04,3100,105,167,239,0.1382857142857143,0.274,0.581,0.987,0.266,0.06499999999999995,0.603,0.6799999999999999,0.612,0.49809999999999993,1344,C
"Hanover Park, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.21,4.48,109155,0.0842,99240,0.04,3100,105,167,239,0.1382857142857143,0.274,0.798,0.652,0.56,0.06499999999999995,0.603,0.6799999999999999,0.612,0.53945,1013,B
"Markham, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.21,6.34,81199,0.0105,14281,0.04,3100,105,167,239,0.1382857142857143,0.274,0.5549999999999999,0.294,0.971,0.06499999999999995,0.603,0.6799999999999999,0.612,0.49349999999999994,1386,C
"Oak Forest, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.21,5.4,88199,,,0.04,3100,105,167,239,0.1382857142857143,0.274,0.6859999999999999,0.389,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Wadsworth, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.2,5.7,99682,0.0862,47661,0.04,3100,105,167,239,0.13714285714285712,0.262,0.644,0.545,0.5509999999999999,0.06499999999999995,0.603,0.6799999999999999,0.612,0.50045,1322,C
"Phoenix, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.2,5.42,66754,0.0611,79881,0.04,3100,105,167,239,0.13714285714285712,0.262,0.6819999999999999,0.109,0.6679999999999999,0.06499999999999995,0.603,0.6799999999999999,0.612,0.4921,1401,C
"Streamwood, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.2,4.13,106039,,,0.04,3100,105,167,239,0.13714285714285712,0.262,0.836,0.617,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Algonquin, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.19,8.1,110466,0.0432,51993,0.04,3100,105,167,239,0.13599999999999998,0.254,0.36,0.667,0.763,0.06499999999999995,0.603,0.6799999999999999,0.612,0.45874999999999994,1638,C
"Hawthorn Woods, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.19,6.83,143783,0.3281,289631,0.04,3100,105,167,239,0.13599999999999998,0.254,0.492,0.899,0.10999999999999999,0.06499999999999995,0.603,0.6799999999999999,0.612,0.46409999999999996,1595,C
"Dixmoor, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.19,5.41,66475,0.0094,14281,0.04,3100,105,167,239,0.13599999999999998,0.254,0.6839999999999999,0.106,0.978,0.06499999999999995,0.603,0.6799999999999999,0.612,0.50625,1283,C
"Flossmoor, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.19,8.15,80397,0.01,14281,0.04,3100,105,167,239,0.13599999999999998,0.254,0.356,0.284,0.975,0.06499999999999995,0.603,0.6799999999999999,0.612,0.4493999999999999,1667,D
"Bensenville, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.19,7.48,94578,0.0415,66400,0.04,3100,105,167,239,0.13599999999999998,0.254,0.42100000000000004,0.477,0.773,0.06499999999999995,0.603,0.6799999999999999,0.612,0.46195,1611,C
"Wheeling, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.18,5.33,127743,0.0616,88210,0.04,3100,105,167,239,0.13485714285714287,0.243,0.6930000000000001,0.815,0.6639999999999999,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5256,1127,C
"Trout Valley, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.18,9.38,112604,0.1184,128719,0.04,3100,105,167,239,0.13485714285714287,0.243,0.262,0.689,0.42500000000000004,0.06499999999999995,0.603,0.6799999999999999,0.612,0.42115,1801,D
"Huntley, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.17,3.68,126831,,,0.04,3100,105,167,239,0.1337142857142857,0.233,0.875,0.807,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Gurnee, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.17,5.34,94125,0.0517,47661,0.04,3100,105,167,239,0.1337142857142857,0.233,0.692,0.471,0.721,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5090499999999999,1262,C
"Cary, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.15,10.35,115046,0.1295,128719,0.04,3100,105,167,239,0.13142857142857142,0.218,0.20199999999999996,0.712,0.38,0.06499999999999995,0.603,0.6799999999999999,0.612,0.4030499999999999,1869,D
"Mokena, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.15,4.71,134548,0.0504,28980,0.04,3100,105,167,239,0.13142857142857142,0.218,0.772,0.856,0.729,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5417,995,B
"Tinley Park, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.15,5.22,104167,,,0.04,3100,105,167,239,0.13142857142857142,0.218,0.708,0.599,,0.06499999999999995,0.603,0.6799999999999999,0.612,,,
"Deerfield, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.14,9.37,166146,0.0728,102492,0.04,3100,105,167,239,0.13028571428571428,0.208,0.262,0.96,0.609,0.06499999999999995,0.603,0.6799999999999999,0.612,0.4368999999999999,1724,D
"Fox River Grove, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.14,8.94,125024,0.1583,114438,0.04,3100,105,167,239,0.13028571428571428,0.208,0.29100000000000004,0.792,0.30900000000000005,0.06499999999999995,0.603,0.6799999999999999,0.612,0.4193,1814,D
"Long Grove, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.13,8.02,125188,0.0768,129631,0.04,3100,105,167,239,0.12914285714285714,0.2,0.368,0.794,0.589,0.06499999999999995,0.603,0.6799999999999999,0.612,0.44719999999999993,1677,D
"Gilberts, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.13,5.42,122046,0.191,88501,0.04,3100,105,167,239,0.12914285714285714,0.2,0.6819999999999999,0.77,0.249,0.06499999999999995,0.603,0.6799999999999999,0.612,0.4918,1408,C
"Itasca, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.13,6.77,96267,0.0591,80681,0.04,3100,105,167,239,0.12914285714285714,0.2,0.498,0.498,0.677,0.06499999999999995,0.603,0.6799999999999999,0.612,0.4628,1604,C
"Frankfort, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.13,5.75,138979,0.0556,28980,0.04,3100,105,167,239,0.12914285714285714,0.2,0.637,0.88,0.6970000000000001,0.06499999999999995,0.603,0.6799999999999999,0.612,0.5107,1252,C
"Lake in the Hills, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.12,7.59,118239,0.0327,38604,0.04,3100,105,167,239,0.128,0.188,0.40900000000000003,0.741,0.827,0.06499999999999995,0.603,0.6799999999999999,0.612,0.46225,1607,C
"Homewood, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.11,8.54,80124,0.0089,14281,0.04,3100,105,167,239,0.12685714285714286,0.18,0.32299999999999995,0.28,0.981,0.06499999999999995,0.603,0.6799999999999999,0.612,0.4280999999999999,1763,D
"East Hazel Crest, IL",IL,"Chicago-Naperville-Elgin, IL-IN",1.11,8.87,77506,0.0079,14281,0.04,3100,105,167,239,0.12685714285714286,0.18,0.29600000000000004,0.245,0.984,0.06499999999999995,0.603,0.6799999999999999,0.612,0.4210999999999999,1802,D
