Market,ST,MSA,Tier,Score,Rank,lat,lng
"Queenstown, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.29038,-76.61219
"Lake Shore, MD",MD,"Baltimore-Columbia-Towson, MD",B,0.59255,650.0,39.10705,-76.48496
"Centreville, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.29038,-76.61219
"Havre de Grace, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.29038,-76.61219
"Aberdeen Proving Ground, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.29038,-76.61219
"Fallston, MD",MD,"Baltimore-Columbia-Towson, MD",C,0.4831,1472.0,39.29038,-76.61219
"Bel Air, MD",MD,"Baltimore-Columbia-Towson, MD",B,0.5347500000000001,1053.0,39.29038,-76.61219
"Aberdeen, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.50956,-76.16412
"Riva, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.29038,-76.61219
"Edgewater, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.29038,-76.61219
"Highland, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.29038,-76.61219
"Annapolis, MD",MD,"Baltimore-Columbia-Towson, MD",,,,38.97859,-76.49184
"Naval Academy, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.29038,-76.61219
"Perryman, MD",MD,"Baltimore-Columbia-Towson, MD",C,0.50115,1318.0,39.29038,-76.61219
"Crownsville, MD",MD,"Baltimore-Columbia-Towson, MD",C,0.4874999999999999,1438.0,39.29038,-76.61219
"Arnold, MD",MD,"Baltimore-Columbia-Towson, MD",C,0.47465,1532.0,39.03206,-76.50274
"Abingdon, MD",MD,"Baltimore-Columbia-Towson, MD",C,0.4932,1390.0,39.29038,-76.61219
"Camp Springs, MD",MD,"Baltimore-Columbia-Towson, MD",D,0.4436,1691.0,38.804,-76.90664
"Edgewood, MD",MD,"Baltimore-Columbia-Towson, MD",C,0.4704,1560.0,39.41872,-76.2944
"Cape St. Claire, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.29038,-76.61219
"Kingsville, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.29038,-76.61219
"Fulton, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.29038,-76.61219
"Cockeysville, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.48122,-76.64386
"Riviera Beach, MD",MD,"Baltimore-Columbia-Towson, MD",C,0.4953499999999999,1367.0,39.29038,-76.61219
"Dundalk, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.25066,-76.52052
"Lutherville, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.29038,-76.61219
"Edgemere, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.29038,-76.61219
"Towson, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.4015,-76.60191
"Baltimore, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.29038,-76.61219
"Timonium, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.29038,-76.61219
"Scaggsville, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.14511,-76.90025
"Crofton, MD",MD,"Baltimore-Columbia-Towson, MD",D,0.4354,1731.0,39.00178,-76.68747
"Catonsville, MD",MD,"Baltimore-Columbia-Towson, MD",D,0.4057,1860.0,39.27205,-76.73192
"Columbia, MD",MD,"Baltimore-Columbia-Towson, MD",C,0.4591999999999999,1633.0,39.24038,-76.83942
"Pasadena, MD",MD,"Baltimore-Columbia-Towson, MD",D,0.381,1952.0,39.119,-76.57108
"Lansdowne, MD",MD,"Baltimore-Columbia-Towson, MD",D,0.41605,1829.0,39.29038,-76.61219
"Brooklyn Park, MD",MD,"Baltimore-Columbia-Towson, MD",E,0.3496,2052.0,39.29038,-76.61219
"Odenton, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.084,-76.70025
"Elkridge, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.21261,-76.71358
"Linthicum, MD",MD,"Baltimore-Columbia-Towson, MD",D,0.39085,1921.0,39.29038,-76.61219
"Gambrills, MD",MD,"Baltimore-Columbia-Towson, MD",,,,39.29038,-76.61219
